Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Infraction Score,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Total Actions
Kylian Mbappe,FRA,FW,10,769,4,23,41,24,27,14,0,6.54,1.53,5,0,18,166,15,232,201,86.64,10,10,28,31,81,12,92,6,9,1,0,0,7,1,,,,
Lionel Messi,ARG,FW,8,853,4,19,35,23,16,19,0,6.18,1.29,38,0,26,194,23,367,288,78.47,46,39,25,36,58,5,80,3,20,0,0,0,5,0,,,,
Jude Bellingham,ENG,MF,7,698,1,13,19,37,16,3,4,3.92,1.79,0,0,22,234,31,231,191,82.68,9,11,14,21,48,6,100,9,17,1,0,0,1,1,,,,
Erling Haaland,NOR,FW,7,537,0,12,19,37,18,1,7,4.62,1.51,0,0,11,108,5,47,34,72.34,1,0,1,4,25,0,0,5,3,0,0,0,0,0,,,,
Ousmane Dembele,FRA,FW,6,648,2,10,20,30,13,7,1,2.1,2.86,17,0,28,257,16,297,236,79.46,36,17,9,29,62,6,83,0,4,0,0,0,3,0,,,,
Harry Kane,ENG,FW,6,732,1,11,23,26,18,5,5,3.69,1.63,0,0,25,262,22,99,73,73.74,3,33,1,11,55,2,100,8,9,0,0,0,2,0,,,,
Mikel Oyarzabal,ESP,FW,5,664,1,12,23,22,16,7,5,4.33,1.14,0,0,58,272,16,149,124,83.22,8,13,2,4,25,2,50,4,5,0,0,0,1,0,,,,
Ismaila Sarr,SEN,FW,4,419,1,6,17,24,15,2,2,3.68,1.09,0,0,18,157,11,73,57,78.08,2,0,4,10,50,0,0,1,9,0,0,0,2,0,,,,
Julian Quinones,MEX,FW,4,440,1,6,14,29,8,6,2,2.27,1.76,0,0,13,162,12,135,111,82.22,4,50,5,7,100,2,100,5,7,0,0,0,1,0,,,,
Vinicius Junior,BRA,FW,4,505,1,11,17,24,14,3,1,3.24,1.23,2,0,24,172,10,142,116,81.69,15,40,23,21,76,4,100,4,10,0,0,0,3,0,,,,
Bukayo Saka,ENG,FW,3,411,3,7,13,23,11,2,1,1.72,1.74,5,0,7,85,21,101,81,80.2,23,22,12,11,73,2,100,4,9,0,0,0,4,0,,,,
Deniz Undav,GER,FW,3,174,2,4,6,50,5,1,0,1.43,2.1,0,0,6,53,7,31,23,74.19,2,0,0,4,50,0,0,3,0,0,0,0,0,0,,,,
Johan Manzambi,SUI,MF,3,220,2,3,6,50,4,2,0,0.63,4.73,0,0,14,102,13,54,43,79.63,7,43,5,7,57,0,0,3,3,0,0,0,1,0,,,,
Romelu Lukaku,BEL,FW,3,279,1,3,6,50,6,0,2,0.77,3.91,0,0,5,56,1,42,32,76.19,0,0,1,3,67,0,0,2,0,1,0,0,1,1,,,,
Lautaro Martinez,ARG,FW,3,368,1,4,10,30,9,1,2,2.17,1.38,0,0,26,181,19,71,60,84.51,2,50,1,2,50,0,0,8,5,1,0,0,2,1,,,,
Charles De Ketelaere,BEL,FW,3,385,1,5,6,50,6,0,3,1.51,1.98,0,0,19,146,18,91,72,79.12,5,0,3,13,46,1,0,2,3,0,0,0,2,0,,,,
Cody Gakpo,NED,FW,3,394,1,6,10,30,8,2,2,1.35,2.23,1,0,15,127,7,100,79,79.0,10,10,7,18,67,1,0,3,3,0,0,0,3,0,,,,
Bradley Barcola,FRA,FW,3,432,1,5,10,30,7,3,1,1.99,1.51,0,0,21,134,25,117,106,90.6,7,14,11,11,73,0,0,5,1,1,0,0,1,1,,,,
Brian Brobbey,NED,FW,3,245,0,3,4,75,4,0,0,1.4,2.14,0,0,18,53,2,21,18,85.71,1,0,1,0,0,0,0,4,3,0,0,0,2,0,,,,
Elijah Just,NZL,MF,3,291,0,5,7,43,5,2,0,0.86,3.48,0,0,19,152,18,99,85,85.86,1,0,4,5,20,2,50,3,2,1,0,0,0,1,,,,
Matheus Cunha,BRA,FW,3,324,0,4,10,30,5,5,1,1.21,2.49,3,0,9,133,16,90,78,86.67,5,0,3,11,36,0,0,1,3,0,0,0,1,0,,,,
Folarin Balogun,USA,FW,3,348,0,5,14,21,14,0,2,2.02,1.49,0,0,29,106,7,44,30,68.18,6,0,4,6,67,0,0,3,8,1,1,0,3,4,,,,
Raul Jimenez,MEX,FW,3,348,0,7,18,17,13,5,7,3.0,1.0,0,0,27,87,10,66,48,72.73,1,0,1,8,63,0,0,7,2,0,0,0,2,0,,,,
Kai Havertz,GER,FW,3,392,0,7,12,25,11,1,7,2.0,1.5,0,0,19,99,14,117,101,86.32,3,67,1,2,0,0,0,3,4,1,0,0,1,1,,,,
Yoane Wissa,COD,FW,3,409,0,3,11,27,7,4,2,1.79,1.68,0,0,11,118,5,69,60,86.96,2,0,1,5,40,0,0,5,9,0,0,0,1,0,,,,
Ismael Saibari,MAR,MF,3,411,0,3,10,30,7,3,1,1.01,2.97,0,0,32,181,17,95,80,84.21,7,29,4,8,75,1,100,8,3,0,0,0,3,0,,,,
Jonathan David,CAN,FW,3,475,0,9,18,17,13,5,0,2.71,1.11,0,0,45,227,21,103,76,73.79,6,0,1,10,60,1,100,5,5,1,0,0,0,1,,,,
Cristiano Ronaldo,POR,FW,3,490,0,9,18,17,15,3,0,2.94,1.02,0,0,7,72,6,99,86,86.87,1,0,0,4,25,0,0,2,5,0,0,0,6,0,,,,
Crysencio Summerville,NED,FW,2,282,2,2,2,100,1,1,0,0.16,12.33,3,0,17,75,13,67,56,83.58,8,13,5,6,83,0,0,2,5,1,0,0,1,1,,,,
Breel Embolo,SUI,FW,2,531,2,5,10,20,8,2,2,2.58,0.78,0,0,40,177,25,72,56,77.78,1,0,2,8,63,0,0,9,11,2,1,1,4,7,,,,
Leandro Trossard,BEL,FW,2,561,2,4,17,12,10,7,0,1.67,1.2,0,0,26,168,12,199,171,85.93,11,45,10,11,55,4,75,4,8,0,0,0,1,0,,,,
Soufiane Rahimi,MAR,FW,2,215,1,4,6,33,5,1,2,1.59,1.26,0,0,5,73,11,37,27,72.97,5,40,2,5,40,0,0,5,6,0,0,0,2,0,,,,
Nicolas Pepe,CIV,FW,2,255,1,3,6,33,5,1,0,1.42,1.41,6,0,19,97,15,109,93,85.32,10,30,5,10,60,0,0,1,1,1,0,0,1,1,,,,
Pape Gueye,SEN,MF,2,257,1,3,8,25,1,7,0,0.37,5.4,0,0,7,51,10,161,138,85.71,3,33,1,13,54,5,100,4,2,1,0,0,0,1,,,,
Maxi Araujo,URU,MF,2,278,1,3,4,50,3,1,2,1.09,1.83,10,0,10,79,11,57,50,87.72,18,44,7,7,86,0,0,2,7,0,0,0,6,0,,,,
Riyad Mahrez,ALG,FW,2,288,1,3,6,33,4,2,0,1.49,1.34,5,0,22,102,13,147,127,86.39,9,33,0,9,67,6,100,1,7,0,0,0,1,0,,,,
Ramin Rezaeian,IRN,DF,2,309,1,2,4,50,4,0,0,0.97,2.06,7,0,9,82,10,98,68,69.39,17,29,1,12,50,0,0,2,3,0,0,0,1,0,,,,
Ruben Vargas,SUI,FW,2,314,1,4,6,33,4,2,0,1.31,1.53,11,0,14,94,19,88,65,73.86,24,25,7,16,44,0,0,6,6,0,0,0,2,0,,,,
Ayase Ueda,JPN,FW,2,349,1,4,9,22,5,4,2,0.63,3.15,0,0,11,173,9,35,26,74.29,1,0,4,4,50,0,0,6,4,0,0,0,1,0,,,,
Mostafa Zico,EGY,MF,2,398,1,3,8,25,7,1,2,1.1,1.82,0,0,15,192,31,83,57,68.67,2,50,0,7,43,1,100,6,5,0,0,0,2,0,,,,
Malik Tillman,USA,MF,2,415,1,4,8,25,5,3,0,0.73,2.75,10,0,15,115,25,163,129,79.14,15,27,7,18,50,2,100,3,14,1,0,0,0,1,,,,
Ermin Mahmic,BIH,MF,2,88,0,2,4,50,2,2,0,0.34,5.88,0,0,1,41,3,16,12,75.0,1,0,0,0,0,1,100,1,1,1,0,0,0,1,,,,
Habib Diarra,SEN,MF,2,168,0,1,3,67,2,1,0,0.54,3.68,0,0,12,73,14,54,52,96.3,1,0,0,2,50,0,0,2,2,0,0,0,0,0,,,,
Marko Arnautovic,AUT,FW,2,173,0,3,3,67,3,0,0,1.31,1.53,0,0,5,35,1,32,25,78.12,1,0,0,0,0,0,0,3,1,1,0,0,5,1,,,,
Amad Diallo,CIV,FW,2,211,0,4,8,25,6,2,0,1.44,1.39,4,0,8,54,12,73,69,94.52,7,29,7,4,100,1,100,0,2,0,0,0,1,0,,,,
Cyle Larin,CAN,FW,2,224,0,4,9,22,9,0,3,1.27,1.58,0,0,8,76,6,23,20,86.96,0,0,1,1,0,0,0,5,1,2,0,0,3,2,,,,
