Country,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Infraction Score,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Total Actions,Attack,Possession,Defense,Goalkeeping,Discipline
ALG,5,4423,3,16,44,5.730769230769231,26,18,5,4.74,0.4880769230769231,14,0,181,1015,152,2641,2382,87.55047619047619,39,8.576923076923077,48,76,36.42307692307692,30,34.23076923076923,29,40,3,0,0,4,3,9.0,48.0,45.0,93.0,29.937310470747004,37.73476307433341,28.862278789543243,15.662790697674419,91.26794258373205
ARG,18,10223,12,46,115,9.8,66,49,22,15.43,0.8112,41,0,351,2054,349,5248,4699,89.30125,111,17.04,58,138,46.0,39,50.72,113,100,15,1,1,22,20,20.0,111.0,97.0,208.0,76.28314757481941,74.3918167510991,88.7248322147651,64.55813953488372,0.0
AUS,2,4809,1,13,42,1.4230769230769231,26,16,6,2.73,0.40153846153846157,16,1,174,1229,162,1647,1336,77.22909090909091,70,14.0,39,76,24.53846153846154,21,24.653846153846153,46,38,5,0,0,1,5,14.0,91.0,76.0,167.0,15.493204731285228,15.429093263792263,31.322842822568187,41.93023255813954,78.10406698564594
AUT,5,4526,4,8,31,6.538461538461538,19,12,7,3.8800000000000003,0.5684615384615385,10,0,150,1220,209,1827,1561,82.48049999999999,62,5.0,15,72,34.34615384615385,8,23.076923076923077,47,27,5,0,0,11,5,15.0,85.0,74.0,159.0,21.529352226720647,23.324175661358275,25.512624658850992,42.94186046511628,77.76315789473685
BEL,13,7123,10,35,112,7.2,74,38,16,10.62,0.7084,24,0,263,1582,227,3081,2653,83.23217391304348,133,14.04,68,138,41.84,30,39.4,78,68,6,1,0,8,9,19.0,117.0,95.0,212.0,60.210712074303416,41.40687271303307,58.99998283527008,62.80232558139536,52.458133971291865
BIH,4,4452,3,14,37,4.32,16,21,5,2.06,0.6124,15,0,159,987,155,1591,1292,78.89772727272727,57,5.0,32,51,18.44,17,26.0,58,36,7,1,0,2,10,8.0,92.0,70.0,162.0,22.23432198142415,14.27529593069564,23.157409155666937,26.0,55.5921052631579
BRA,10,5718,8,29,73,6.48,50,23,11,10.89,0.3396,27,0,186,1338,214,2742,2462,88.50363636363636,89,14.32,44,107,40.4,24,35.0,51,54,8,0,0,11,8,15.0,67.0,59.0,126.0,45.80543034055728,40.39505613024454,36.23242760775159,36.802325581395344,65.34688995215312
CAN,8,5612,3,32,81,4.5,57,24,16,9.040000000000001,0.681923076923077,50,0,228,1183,228,2098,1722,78.92227272727273,158,10.076923076923077,32,119,32.07692307692308,18,46.15384615384615,72,71,11,0,0,7,11,7.0,49.0,40.0,89.0,37.75340557275542,23.77161710225827,43.12505363978097,9.918604651162791,47.135167464114836
CIV,5,4487,4,14,45,3.32,30,15,3,5.51,0.16799999999999998,26,0,176,1123,188,1970,1727,86.4040909090909,78,11.32,52,85,34.32,13,30.0,29,36,4,0,0,4,4,11.0,84.0,68.0,152.0,27.3022786377709,27.586325972990807,29.759393398444878,31.639534883720934,87.58373205741627
COD,5,4497,3,10,41,2.4615384615384617,18,23,5,3.72,0.28423076923076923,13,0,172,1234,179,1470,1195,79.24190476190476,64,13.692307692307692,25,70,20.615384615384617,18,16.53846153846154,44,44,6,0,0,9,6,15.0,83.0,70.0,153.0,19.600265936334047,13.47973770182287,30.948952093238812,41.825581395348834,75.10167464114832
COL,5,5943,5,31,94,3.8461538461538463,55,39,13,7.3,0.2469230769230769,24,0,194,1088,191,2789,2437,85.098,82,15.307692307692308,33,98,30.76923076923077,56,39.30769230769231,70,64,8,0,0,19,8,7.0,57.0,54.0,111.0,30.11143526236406,36.45982358973956,33.31622581918673,14.011627906976745,58.869617224880386
CPV,4,4891,2,12,49,4.44,20,29,6,2.56,1.298,17,1,191,1252,166,1555,1272,82.18285714285715,51,23.32,40,58,24.0,22,22.84,27,47,5,0,0,7,5,18.0,136.0,102.0,238.0,23.247044375644997,16.97040909964936,35.75730788376045,65.13953488372093,84.58133971291866
CRO,6,4538,5,17,37,10.846153846153847,21,16,8,3.41,1.1753846153846155,12,0,149,1011,174,1901,1661,79.89263157894737,66,7.384615384615385,34,77,26.923076923076923,22,33.5,45,46,4,0,0,8,4,12.0,80.0,68.0,148.0,35.552405334603485,21.401724615816292,21.268773923342316,33.395348837209305,82.12918660287082
CUW,1,3296,0,7,29,0.7692307692307693,14,15,4,1.6900000000000002,0.125,5,0,121,983,160,968,770,75.26181818181819,21,7.8076923076923075,31,40,17.807692307692307,7,26.923076923076923,32,31,7,0,0,5,7,21.0,81.0,72.0,153.0,8.8205326665079,4.3493251501803,14.154508316311642,56.825581395348834,75.50837320574163
CZE,2,3305,2,8,34,1.3076923076923077,22,12,10,2.44,0.12576923076923077,15,0,119,857,121,1102,872,80.71333333333334,50,17.807692307692307,19,45,22.153846153846153,12,20.5,37,31,1,0,0,5,1,11.0,60.0,52.0,112.0,9.661133603238866,9.937489210972952,11.267829863197102,24.197674418604652,95.9090909090909
ECU,2,4467,2,20,53,2.423076923076923,35,18,12,5.890000000000001,1.0323076923076924,25,0,176,925,205,1985,1717,86.183,88,8.884615384615385,42,93,24.076923076923077,10,23.076923076923077,49,37,8,1,0,2,11,12.0,68.0,63.0,131.0,19.6708621100262,25.15606515324549,25.9614394342505,30.23255813953488,54.97607655502392
